GID;"COD_CIRCUITO";"TURNO_HORARIO";X;Y
12365;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";571569.2543178063;6141092.4199247835
12368;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572412.0955301337;6141021.2004889995
12369;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";571687.8995940989;6141011.0414339965
12370;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572226.5529953276;6141179.010374285
12372;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572653.1223494362;6140770.179828208
12374;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";571870.430788395;6141301.570251584
12379;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572294.3266942697;6141396.8544066
12380;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572799.91817034;6140942.5117014535
12388;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572829.9194049857;6140620.610066736
12389;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";572017.243496929;6141923.399181505
12390;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";571919.3934875483;6141835.697344667
12392;"E_DU_RM_CL_16       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";587576.999976123;6139494.00010199
12394;"E_DU_RM_CL_16       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";587238.2352862738;6139618.716002216
12397;"E_DU_RM_CL_16       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";587421.0810179049;6140178.617220202
12401;"E_DU_RM_CL_11       ";"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ";586405.8449170103;6140671.166463697
12402;"C_DU_RM_CL_05       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";575269.2711055094;6142319.547429287
12404;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";585416.7976807114;6138933.32069855
12405;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";584807.3032734885;6138689.382613253
12406;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";586136.1775041939;6138561.196377834
12407;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";586083.6806709735;6138685.824234519
12408;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";586347.0222698728;6139000.798088566
12409;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";585614.1265011568;6138461.0893082665
12414;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";585260.0876999743;6138449.780964983
12415;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";571834.6850961788;6141128.165617003
12416;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";571768.9004568296;6141492.401049937
12421;"C_DU_RM_CL_01       ";"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ";571948.7670926139;6141339.597583729
12431;"D_DU_RM_CL_03       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";577850.9342138265;6143060.939211583
12434;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";586251.5185471096;6138913.83194663
12440;"E_DU_RM_CL_14       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                    ";585339.5714030815;6138092.63194579
12442;"C_DU_RM_CL_04       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";574062.2671414143;6143395.572528387
12445;"C_DU_RM_CL_04       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";573742.166277783;6143319.3937422875
12450;"C_DU_RM_CL_04       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";573995.0436433017;6143161.418438062
12460;"C_DU_RM_CL_04       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";573812.8836446269;6143465.600632603
12463;"C_DU_RM_CL_04       ";"MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ";573945.8152948564;6142675.597324264
