GID;"COD_CIRCUITO";"MUNICIPIO";"VERTICES"
19;"C_DU_RM_CL_14       ";"C ";"POLYGON ((575137.467853601 6140586.49989914, 575277.012237731 6140592.13935515, 575335.493005785 6140594.50274715, 575382.701869829 6140596.41052315, 575392.796333838 6140596.81855515, 575506.238797944 6140601.40303515, 575519.780493957 6140601.95036315, 575635.862318065 6140606.64162716, 575698.565646123 6140609.17564316, 575754.961550176 6140611.45477916, 575878.800334291 6140616.45954717, 575978.629966384 6140620.49404317, 576104.916174502 6140625.59765918, 576108.335278505 6140625.73586718, 576116.597582512 6140517.35804308, 576124.41345452 6140414.83612298, 576131.973934527 6140315.66565889, 576255.4638989214 6140339.187569957, 576434.258734808 6140212.70985079, 576505.3822359666 6140161.964110418, 576570.9040704297 6140254.038831912, 576636.9471290804 6140347.164295907, 576696.8134987926 6140432.212551289, 576707.2663569963 6140446.941578758, 576812.7451988701 6140596.607503033, 576822.247797237 6140610.386270666, 576874.9872181739 6140662.650561682, 576922.0250800906 6140703.986864577, 576922.9753399274 6140703.986864577, 576998.0458670267 6140766.704013797, 577032.501519365 6140795.97295534, 577036.226786051 6140799.75721912, 576933.769407879 6140897.89200141, 576920.804824545 6140910.59200141, 576850.818677319 6140975.04790812, 576823.702741212 6141000.02116808, 576814.442324545 6141009.54616808, 576761.525657879 6141060.34616808, 576623.413157879 6141190.78575141, 576543.508991212 6141266.98575141, 576542.979824545 6141266.72116808, 576543.508991212 6141266.98575141, 576535.359118902 6141263.14485977, 576500.56852687 6141247.54041176, 576458.371214831 6141228.61369174, 576337.678798718 6141174.47977169, 576319.234446701 6141166.20693968, 576167.17134256 6141098.00233162, 576136.977038531 6141084.4593556, 576117.593038513 6141075.7651476, 576103.814478501 6141074.9864596, 576065.322766465 6141072.81100359, 576047.457230448 6141071.80124359, 576016.001934419 6141070.02345159, 575958.056846365 6141066.74860359, 575858.452622272 6141061.11913158, 575736.275342158 6141054.21397958, 575507.820141946 6141041.30223556, 575493.927245933 6141040.51705156, 575478.953005919 6141034.60927556, 575478.132941918 6141034.28572356, 575444.551629887 6141021.03727555, 575374.503949821 6140921.91657145, 575233.68442969 6140722.65065127, 575137.467853601 6140586.49989914))"
20;"D_DU_RM_CL_02       ";"D ";"POLYGON ((575573.708840533 6142737.4480662, 575665.905166093 6142711.17954912, 575762.043086182 6142684.35593309, 575857.720590271 6142657.66076507, 575953.477358361 6142630.94348504, 576048.420462449 6142604.45318102, 576145.77915054 6142577.28889299, 576240.028814627 6142550.99202897, 576336.654990717 6142524.03215695, 576394.847886772 6142507.79570893, 576418.042382793 6142501.32406092, 576431.377166806 6142520.70188494, 576479.04782285 6142589.97561301, 576538.309966905 6142676.09372509, 576574.267726939 6142728.34665314, 576646.344623006 6142833.08694123, 576696.796463053 6142906.4023333, 576699.214255055 6142909.8985573, 576741.482223094 6142971.02313336, 576792.546799142 6143044.86876543, 576901.610831244 6143202.58838158, 577054.200207386 6143423.25087778, 577201.250601805 6143648.421722673, 577057.505775389 6143742.25884608, 576993.139279329 6143785.32179012, 576889.3111282125 6143850.878261243, 576894.5246013087 6143890.848221648, 576859.7681140004 6143914.308850581, 576807.748495156 6144025.31718234, 576774.201967125 6144033.27935835, 576685.056783042 6144054.43801437, 576472.336398844 6144104.92694242, 576422.207822797 6144116.82492643, 576415.388430791 6144118.44355043, 576437.763694812 6144225.97737453, 576477.222670848 6144415.61417471, 576495.018126865 6144501.13759879, 576519.499049311 6144590.76373849, 576069.984014469 6144523.00767881, 576040.865064866 6144515.83740242, 575986.621646391 6144273.05212657, 575954.731982362 6144150.08342246, 575953.421294361 6144145.02927845, 575951.739278359 6144129.61868644, 575948.259150356 6144097.73356641, 575939.158510347 6144014.35523033, 575880.930254293 6143480.87375784, 575880.593358293 6143479.69721384, 575853.078862267 6143383.60658975, 575826.054030242 6143289.22556566, 575798.241614216 6143192.09442957, 575770.67876619 6143095.83452548, 575768.167502188 6143087.06457347, 575763.232302183 6143078.28796546, 575722.315150145 6143005.52156539, 575680.330958106 6142930.85762932, 575671.327566098 6142914.84620531, 575622.023630052 6142827.16486123, 575575.115188701 6142740.82330181, 575573.708840533 6142737.4480662))"
21;"D_DU_RM_CL_01       ";"D ";"POLYGON ((574186.007714184 6143565.01562378, 574212.152258566 6143534.66391134, 574267.145955371 6143467.34922235, 574349.185732571 6143387.11251718, 574464.582342259 6143267.80925143, 574547.523655472 6143187.27203426, 574633.770600734 6143097.41894494, 574706.795017802 6143023.79350386, 574802.658347204 6142928.83171047, 574930.375949072 6142800.8135966, 575015.420846316 6142719.97586741, 575102.569327591 6142631.32482612, 575160.56814444 6142576.03061731, 575208.950577147 6142527.9486966, 575254.628401816 6142481.97035993, 575286.182162277 6142452.21967149, 575308.893480394 6142430.02035656, 575316.206490871 6142423.12925053, 575347.849324663 6142456.31906731, 575371.475973895 6142480.93016026, 575444.60607866 6142564.74851111, 575515.204756721 6142641.95702556, 575523.642845732 6142650.25447975, 575573.708840533 6142737.4480662, 575575.115188701 6142740.82330181, 575622.023630052 6142827.16486123, 575671.327566098 6142914.84620531, 575680.330958106 6142930.85762932, 575722.315150145 6143005.52156539, 575763.232302183 6143078.28796546, 575768.167502188 6143087.06457347, 575770.67876619 6143095.83452548, 575798.241614216 6143192.09442957, 575826.054030242 6143289.22556566, 575853.078862267 6143383.60658975, 575880.593358293 6143479.69721384, 575880.930254293 6143480.87375784, 575938.900686347 6144014.32121433, 575948.259150356 6144097.73356641, 575951.739278359 6144129.61868644, 575953.421294361 6144145.02927845, 575986.621646391 6144273.05212657, 575909.029178257 6144282.1640565, 575856.19873619 6144297.72145466, 575800.33703925 6144308.95735334, 575755.73428898 6144321.92185181, 575694.229902119 6144200.29615851, 575640.569070069 6144095.29967841, 575584.207118017 6143985.01807831, 575548.571341983 6143915.29087824, 575529.663373966 6143879.19644621, 575479.010893919 6143782.50310212, 575364.732045812 6143564.34998191, 575343.876333793 6143524.53708588, 575343.762061793 6143524.43078188, 575342.166093791 6143522.94492588, 575257.327885712 6143443.9632618, 575177.989197638 6143370.10150173, 575089.533357556 6143287.75183766, 575088.491181555 6143286.78150166, 574953.312333429 6143414.90418977, 574782.53812527 6143576.76460593, 574587.3533307441 6143770.596889416, 574739.3949046119 6143936.8923608335, 574463.8195519764 6144138.347446208, 574427.7096781828 6143925.489242793, 574439.1127962229 6143916.936904264, 574428.821413736 6143809.03137135, 574309.518147991 6143673.19994537, 574281.871043586 6143634.4338968, 574245.509091054 6143595.36733623, 574186.007714184 6143565.01562378))"
22;"C_DU_RM_CL_12       ";"C ";"POLYGON ((575181.933357642 6140586.32057114, 575184.066669644 6140481.28975504, 575186.179277646 6140377.26447495, 575284.9602931585 6140380.907695664, 575291.0625811666 6140240.233898424, 575284.769549738 6140226.19129081, 575360.696141808 6140183.11375477, 575344.632877794 6140148.91746673, 575321.363563312 6140093.879990161, 575294.9725924669 6140038.631602597, 575306.680269758 6139905.72255451, 575315.954381767 6139826.07909843, 575331.4749596311 6139695.843539843, 575337.618733787 6139640.03090626, 575345.799629795 6139569.77426619, 575373.0028298879 6139497.05408613, 575376.2049159444 6139358.723968491, 575430.317581873 6139377.41708201, 575476.642541916 6139397.99477803, 575479.000333919 6139398.82751403, 575490.8456450914 6139417.337191612, 575616.6881019055 6139461.605881954, 575666.9256044282 6139468.569496164, 575724.011918147 6139471.0246981, 575726.074446149 6139471.1574661, 575728.643694151 6139471.3228421, 575733.608430156 6139471.6424581, 575845.90740626 6139478.87106611, 575972.744718379 6139487.03548212, 576070.392206469 6139493.32095412, 576079.707150478 6139493.92057012, 576088.244046486 6139494.47007412, 576180.758766572 6139558.88268218, 576194.456462585 6139580.0428422, 576163.713230556 6139896.5476745, 576144.338446538 6140151.66447474, 576131.907374527 6140315.35036289, 576124.35217452 6140414.83343498, 576116.566030512 6140517.35666708, 576108.335278505 6140625.73586718, 576104.916174502 6140625.59727518, 575978.630670384 6140620.47893917, 575878.801294291 6140616.43289117, 575754.963086176 6140611.41369116, 575697.070670122 6140609.06725916, 575635.864718065 6140606.58652316, 575519.782733957 6140601.88178715, 575506.305773944 6140601.33561115, 575392.728749838 6140596.73225115, 575382.704077829 6140596.32597915, 575335.562637785 6140594.41525915, 575277.014957731 6140592.04229915, 575181.895437642 6140588.18703514, 575181.933357642 6140586.32057114))"
263;"A_DU_RM_CL_11       ";"A ";"POLYGON ((567233.2334574426 6144656.686650934, 567546.110240954 6144556.15868246, 567643.5262470761 6144474.092308412, 568199.8698390571 6144018.393788347, 568199.8698390571 6143685.705911735, 568200.6015043048 6143446.115148714, 568197.9804240853 6143356.998421249, 568226.8123065003 6143377.967063005, 568250.4020284761 6143485.431352006, 568357.8663174775 6143490.673512446, 568460.0884460399 6143558.821598154, 568564.9316548217 6143755.40261462, 568777.1000243517 6143600.732898773, 568993.8736442309 6143903.272732471, 568612.9431735119 6144169.560798234, 568676.252194007 6144353.33474627, 568793.6082606689 6144514.0308289435, 568940.9342740861 6144715.764867119, 569019.7430223026 6144824.865504854, 568330.2359055062 6145326.352169593, 568285.343777643 6145167.03458703, 568217.2082125379 6145214.995924765, 568107.599741765 6145394.435598695, 567966.403105346 6145314.45653917, 567612.5937447257 6145783.36888209, 567196.2954151094 6145443.466952634, 567340.353780209 6145395.447497601, 567458.5555156753 6145336.346629867, 567528.7377961085 6145273.551957901, 567650.6333358082 6145147.962613967, 567233.2334574426 6144656.686650934))"
23;"C_DU_RM_CL_13       ";"C ";"POLYGON ((576132.000142527 6140315.35705089, 576145.89367854 6140151.78421874, 576179.273358571 6139758.79733837, 576194.456462585 6139580.0428422, 576194.456462585 6139580.0428422, 576216.761358606 6139274.96943392, 576225.8849163203 6139174.688936822, 576233.9722884052 6139060.3103887625, 576245.580942633 6138972.33532164, 576251.186446638 6138912.14997758, 576256.934030643 6138924.56511359, 576280.906126665 6138976.34556164, 576321.951950704 6139065.00552972, 576408.528174784 6139252.0134659, 576410.240334786 6139255.7117699, 576418.905326794 6139269.17308191, 576471.371214843 6139350.68136999, 576474.890158846 6139356.14812199, 576475.095694846 6139356.46767399, 576476.494030848 6139357.796666, 576569.241966934 6139445.94847408, 576569.358542934 6139446.05922608, 576645.012751005 6139522.02607415, 576663.329583022 6139540.41845817, 576718.949967073 6139596.26860222, 576802.652527151 6139680.3168263, 576806.390959155 6139684.0709063, 576919.806735261 6139793.3596104, 576933.288143273 6139804.17385041, 576971.468079309 6139834.80057044, 576995.708495331 6139854.24553046, 577066.175791397 6139910.77209051, 577069.8728794 6139913.73762651, 577164.947503489 6139989.27426658, 577197.891727519 6140015.44834661, 577201.147791523 6140018.03522661, 577276.817935593 6140077.41762667, 577349.11335966 6140134.15167472, 577445.90199975 6140210.10687479, 577479.045071781 6140236.11605881, 577539.583055838 6140283.62335486, 577553.599823851 6140291.91593087, 577555.208847852 6140292.86786687, 577564.682895861 6140298.47292287, 577562.811183859 6140300.27705087, 577478.941615781 6140381.11586695, 577451.155343755 6140407.89807497, 577342.922543655 6140512.21989907, 577341.691983653 6140513.40585107, 577339.715471652 6140515.31090707, 577116.786447444 6140730.18434727, 577112.54478344 6140734.27276328, 577108.961039437 6140737.72693928, 577043.308116419 6140792.54208759, 577036.226786051 6140799.75721912, 577036.209613049 6140799.76512611, 577032.361839365 6140795.97455534, 577000.4215166185 6140767.654273634, 576922.5002100089 6140703.511734658, 576875.4623480922 6140663.600821519, 576822.247797237 6140609.911140747, 576812.7451988701 6140596.607503033, 576707.7414869146 6140446.466448839, 576696.8134987926 6140431.737421371, 576636.9471290804 6140347.164295907, 576570.9040704297 6140253.088572076, 576505.3822359666 6140161.964110418, 576434.258734808 6140212.70985079, 576344.105326724 6140276.76767485, 576255.4638989214 6140339.187569957, 576131.973934527 6140315.66565889, 576132.000142527 6140315.35705089))"
24;"D_DU_RM_CL_04       ";"D ";"POLYGON ((575311.930321606 6142422.654120611, 575322.337298053 6142413.79412715, 575379.575668513 6142358.384009311, 575437.5172130569 6142303.958335191, 575516.55398013 6142230.265691151, 575528.226669929 6142219.858714711, 575605.294549565 6142147.291149211, 575691.2224226639 6142066.285494701, 575760.414752557 6142001.312209311, 575805.2772591329 6141958.840494621, 575861.671820692 6141906.524342751, 576208.4772790569 6141575.188714241, 576266.581943039 6141523.586410301, 576266.581943039 6141542.847846351, 576285.511285358 6141567.422782001, 576363.9743094819 6141604.424770171, 576399.730949515 6141623.627042191, 576465.045765576 6141664.3142102305, 576491.451301601 6141680.7632982405, 576519.013605626 6141700.337250261, 576613.1032697139 6141767.157250321, 576643.594661742 6141788.811330341, 576660.0293177579 6141800.482882351, 576676.393253773 6141812.104066361, 576691.7171257869 6141826.326946381, 576808.861765896 6141935.054306481, 576918.4496699979 6142017.187970551, 576990.4979348007 6142029.470205347, 577008.1312377758 6142023.319053147, 577143.8666630026 6141956.886609385, 577164.911535489 6141974.74700443, 577330.9484969169 6142292.748889564, 577386.5386973631 6142434.812735145, 577409.9618301133 6142544.13578479, 577257.4679847206 6142620.663371006, 577103.1579581699 6142703.166947191, 576944.579014023 6142781.468323271, 576843.136197928 6142831.557635311, 576799.5959098879 6142853.056579331, 576693.950533789 6142905.221027381, 576692.5202937879 6142905.9272033805, 576642.0684537409 6142832.611811311, 576569.991557674 6142727.871523221, 576534.03379764 6142675.618595171, 576474.771653585 6142589.500483091, 576427.100997541 6142520.226755021, 576413.766213528 6142500.848931001, 576390.571717507 6142507.320579011, 576332.3788214519 6142523.557027031, 576235.7526453619 6142550.516899051, 576141.502981275 6142576.813763071, 576044.1442931839 6142603.978051101, 575949.201189096 6142630.468355121, 575853.444421006 6142657.18563515, 575757.7669169169 6142683.880803171, 575661.628996828 6142710.704419201, 575569.432671268 6142736.972936281, 575519.366676467 6142649.779349831, 575510.928587456 6142641.4818956405, 575440.329909395 6142564.273381191, 575367.19980463 6142480.455030341, 575343.573155398 6142455.8439373905, 575311.930321606 6142422.654120611))"
25;"D_DU_RM_CL_03       ";"D ";"POLYGON ((576698.226703054 6142905.6961573, 576803.872079153 6142853.53170925, 576847.412367193 6142832.03276523, 576948.855183288 6142781.94345319, 577107.434127435 6142703.64207711, 577261.7441539856 6142621.138500925, 577409.9618301133 6142544.13578479, 577386.5386973631 6142434.812735145, 577330.9484969169 6142292.748889564, 577164.911535489 6141974.74700443, 577244.404367563 6141960.33158042, 577266.402223583 6141956.34242842, 577301.984463616 6141965.72022043, 577354.710575666 6141979.61638044, 577360.680847671 6141981.18985244, 577388.558927697 6141988.53721245, 577406.470351714 6142002.45855646, 577473.128975776 6142054.26793251, 577495.949519797 6142054.26793251, 577557.755151855 6141928.79202839, 577683.316559972 6142419.28892485, 577723.198064009 6142574.57922899, 577749.099536033 6142675.43452509, 577764.027792047 6142669.59586908, 578085.928272347 6142543.69545296, 578089.56635235 6142543.46434896, 578150.119120406 6142539.61868496, 578245.328272495 6142533.57186895, 578224.723242899 6142655.73167269, 578213.2207479827 6142880.0851374995, 577954.429520224 6143082.06447746, 577201.250601805 6143648.421722673, 577054.200207386 6143423.25087778, 576901.610831244 6143202.58838158, 576792.546799142 6143044.86876543, 576741.482223094 6142971.02313336, 576699.214255055 6142909.8985573, 576696.796463053 6142906.4023333, 576698.226703054 6142905.6961573))"
26;"D_DU_RM_CL_06       ";"D ";"POLYGON ((577557.876559855 6141929.26633239, 577557.755151855 6141928.79202839, 577560.617807857 6141924.48607639, 577561.134351858 6141923.70914839, 577561.856143858 6141922.62313238, 577625.010959917 6141827.6222363, 577643.520335934 6141799.77935627, 577643.887727935 6141799.22687627, 577712.559919999 6141695.92636417, 577738.463440023 6141656.96070014, 577739.282064024 6141655.72927614, 577809.502736089 6141550.09942004, 577889.641936164 6141429.54985193, 577999.097104266 6141264.90127577, 578069.261520331 6141159.35605967, 578137.371664394 6141056.90095558, 578137.844368395 6141056.18985158, 578252.842064502 6140883.20389942, 578253.453328503 6140882.28444342, 578306.372048552 6140802.68108334, 578306.596048552 6140802.34421934, 578308.190544554 6140803.43196334, 578365.565456607 6140842.57173938, 578368.84603261 6140844.80965938, 578401.880848641 6140867.3452754, 578477.623696711 6140919.01525945, 578502.160336734 6140935.75362747, 578562.576464791 6140976.9680595, 578631.085392854 6141023.70313155, 578666.450480887 6141047.82837957, 578695.097552914 6141083.6172436, 578756.125840971 6141159.85967567, 578800.157137012 6141214.86767573, 578814.310225025 6141290.7315798, 578823.149649033 6141338.11324384, 578841.64852905 6141437.27145193, 578860.003089067 6141535.65654002, 578879.548785086 6141640.42578812, 578879.548785086 6141640.42578812, 578780.6662663284 6141739.881004728, 578536.6724111559 6141990.166250227, 578444.8451143444 6142093.086777526, 578337.5883138715 6142213.60929283, 578289.99479496 6142268.17199233, 578266.002992514 6142391.21695682, 578264.831536513 6142399.28338883, 578245.328272495 6142533.57186895, 578245.328272495 6142533.57186895, 578150.119120406 6142539.61868496, 578089.56635235 6142543.46434896, 578085.928272347 6142543.69545296, 577764.027792047 6142669.59586908, 577749.099536033 6142675.43452509, 577723.242384009 6142574.53775699, 577644.041551935 6142265.4890527, 577619.637487912 6142170.26236462, 577557.876559855 6141929.26633239))"
264;"A_DU_RM_CL_16       ";"A ";"POLYGON ((567252.6454513151 6144564.506415437, 567463.6111031887 6144513.718388135, 567428.4501612098 6144181.642825002, 567551.2682644862 6143965.275555947, 567867.1819624453 6143599.03932203, 567967.8270343614 6143559.89957184, 568199.8698390571 6143685.705911735, 568199.8698390571 6144018.393788347, 567546.110240954 6144556.15868246, 567171.5080437924 6144662.53387449, 567282.8843931264 6145070.913822054, 567263.4377289569 6145158.423810818, 567180.3474365968 6145203.50471412, 567036.2653338871 6145212.344106925, 566974.3895842572 6145263.612585191, 566739.960096203 6145052.37295492, 566715.811104181 6145587.53813942, 566762.012960224 6145615.83125945, 566824.608544282 6145711.13417154, 566827.589408285 6145755.80745158, 566818.647072277 6145782.6114196, 566781.387808242 6145809.41538763, 566705.378592171 6145863.02357968, 566568.3484429277 6145707.340811858, 566369.1407462668 6145844.250828835, 566116.679711623 6145447.56169129, 566429.371167914 6145192.14869905, 566259.468063756 6145037.28124291, 566155.141919659 6145074.50876294, 565856.806175381 6144588.30869849, 566086.324255595 6144442.37589835, 566290.711071785 6144639.52021854, 566329.3901910457 6144479.631380403, 566481.5911766477 6143857.072152445, 567066.0523933548 6144122.3867837135, 566966.0787641812 6144410.772252483, 567252.6454513151 6144564.506415437))"
27;"D_DU_RM_CL_05       ";"D ";"POLYGON ((576368.250478747 6141604.89990009, 576289.787454623 6141567.89791192, 576270.858112304 6141543.32297627, 576270.858112304 6141524.06154022, 576417.643538709 6141384.58217574, 576518.267937354 6141289.60337041, 576543.508991212 6141266.98575141, 576623.413157879 6141190.78575141, 576761.525657879 6141060.34616808, 576814.442324545 6141009.54616808, 576823.702741212 6141000.02116808, 576850.818677319 6140975.04790812, 576920.804824545 6140910.59200141, 576933.769407879 6140897.89200141, 577036.226786051 6140799.75721912, 577043.308116419 6140792.54208759, 577108.866831437 6140737.07276328, 577112.18084744 6140733.88405928, 577116.108207443 6140730.10505127, 577339.679503652 6140514.97797907, 577341.484367653 6140513.24124307, 577342.609455654 6140512.15874707, 577451.158415755 6140407.70969097, 577478.950831781 6140380.96693895, 577562.809551859 6140300.27557887, 577564.682895861 6140298.47292287, 577576.573231872 6140305.34927488, 577577.532687873 6140305.90418688, 577589.857231885 6140313.03157889, 577650.880655941 6140354.69186692, 577667.394319957 6140365.96565893, 577719.008176005 6140401.20217097, 577745.448144029 6140419.25244298, 577829.916112108 6140476.91826704, 577909.171664182 6140531.02543509, 577992.390928259 6140587.83865114, 578102.319248362 6140662.88607521, 578224.756784476 6140746.47324329, 578306.596048552 6140802.34421934, 578306.372048552 6140802.68108334, 578253.453328503 6140882.28444342, 578252.842064502 6140883.20389942, 578137.844368395 6141056.18985158, 578137.371664394 6141056.90095558, 578069.261520331 6141159.35605967, 577999.097104266 6141264.90127577, 577889.641936164 6141429.54985193, 577809.502736089 6141550.09942004, 577739.282064024 6141655.72927614, 577738.463440023 6141656.96070014, 577712.559919999 6141695.92636417, 577643.887727935 6141799.22687627, 577643.520335934 6141799.77935627, 577625.010959917 6141827.6222363, 577561.856143858 6141922.62313238, 577561.134351858 6141923.70914839, 577560.617807857 6141924.48607639, 577557.755151855 6141928.79202839, 577555.666447853 6141933.03276439, 577546.089583844 6141952.47522841, 577542.48724784 6141959.78847642, 577525.176015824 6141994.93334045, 577495.949519797 6142054.26793251, 577473.128975776 6142054.26793251, 577406.470351714 6142002.45855646, 577388.558927697 6141988.53721245, 577360.680847671 6141981.18985244, 577354.710575666 6141979.61638044, 577301.984463616 6141965.72022043, 577266.402223583 6141956.34242842, 577244.404367563 6141960.33158042, 577164.911535489 6141974.74700443, 577144.276739816 6141956.066455758, 576991.7281652407 6142030.290358975, 576918.4496699979 6142017.187970551, 576813.137935161 6141935.5294364, 576695.993295052 6141826.8020763, 576680.669423038 6141812.57919628, 576664.305487023 6141800.95801227, 576647.870831007 6141789.28646026, 576617.379438979 6141767.63238024, 576523.289774891 6141700.81238018, 576495.727470866 6141681.23842816, 576469.321934841 6141664.78934015, 576404.00711878 6141624.10217211, 576368.250478747 6141604.89990009))"
28;"CH_DU_RM_CL_06      ";"CH";"POLYGON ((576926.28100085 6137936.027275555, 576613.605710975 6137412.63388018, 576710.1134880946 6137391.597868014, 576812.455851907 6137381.00147023, 577109.8350517097 6137370.145905744, 577119.204719446 6137340.99826412, 577176.343951499 6137169.01103196, 577217.362767538 6137045.54543184, 577252.07358357 6136941.06725575, 577302.242895617 6136790.0588396, 577621.8754222161 6136963.959406372, 577633.6543622344 6136951.274394045, 577693.919119981 6136956.71547976, 577693.4551346351 6136956.710827899, 577729.205392014 6136990.73992779, 577801.531280082 6137060.25906386, 577815.093072094 6137073.29455187, 577873.890832149 6137129.81048792, 577876.389840151 6137132.21243992, 577877.167184152 6137132.37256792, 577931.487472203 6137143.56267993, 577964.292624233 6137150.32056794, 578053.638096316 6137168.72597596, 578054.678544317 6137168.94027996, 578070.761680332 6137181.36191197, 578144.5820016803 6137231.765367119, 578278.471448046 6137328.165768502, 578469.5719329952 6137471.432229176, 578482.4175977845 6137480.194104481, 578478.918384713 6137493.80015226, 578362.915632605 6137464.27068023, 578359.996752602 6137463.60389623, 578328.719120573 6137456.45906423, 578304.14680055 6137450.84597622, 578244.402672494 6137437.19842421, 578103.380240363 6137404.98418418, 578094.526352355 6137402.96162418, 578044.237040308 6137400.23128817, 578013.327248279 6137398.55304817, 577938.88635221 6137394.51132017, 577929.607440201 6137394.00757617, 577883.402640158 6137391.49884016, 577860.878544137 6137390.27592816, 577776.457232058 6137385.69237616, 577667.342991957 6137379.76818415, 577587.300943882 6137375.42236015, 577584.392303879 6137375.26447215, 577584.099151879 6137377.50348015, 577564.504079861 6137527.15765629, 577558.974735856 6137569.38725633, 577549.733327847 6137639.9671284, 577549.384623847 6137642.6303604, 577548.425871846 6137645.3952244, 577537.715343836 6137676.28444043, 577502.913007804 6137776.65356052, 577467.747727771 6137878.06933662, 577466.307055769 6137877.89586462, 577460.611663764 6137877.20994462, 577388.828495697 6137868.56511261, 577303.505071618 6137858.2895606, 577036.126159369 6137826.08888857, 576965.8592257403 6137904.109352256, 576926.28100085 6137936.027275555))"
29;"CH_DU_RM_CL_12      ";"CH";"POLYGON ((576254.585486641 6138872.10127354, 576263.098158649 6138769.74792945, 576273.053358658 6138650.73576934, 576283.268494668 6138534.15548123, 576292.207822676 6138428.83116113, 576300.908494684 6138326.31800904, 576305.618830689 6138270.82044098, 576308.671246691 6138234.85720895, 576317.5925907 6138129.74447285, 576321.990670704 6138077.9251448, 576328.065038709 6138006.35708074, 576333.602894715 6137941.10876068, 576341.230830722 6137851.23612059, 576350.32167873 6137744.12658449, 576360.344078739 6137626.04207238, 576373.081262751 6137475.97122424, 576377.843086756 6137419.86767219, 576385.403086763 6137330.79448811, 576406.954830783 6137076.86914387, 576613.605710975 6137412.63388018, 576700.2923496919 6137558.96009285, 576774.6844126873 6137684.091357786, 576926.28100085 6137936.027275555, 576820.788815168 6138047.60389678, 576805.040143154 6138111.36178484, 576797.844751147 6138140.49157686, 576796.191375145 6138148.75448887, 576788.371663138 6138187.83215291, 576788.244367138 6138204.18344892, 576788.145423138 6138216.90933693, 576788.042991138 6138230.06056895, 576787.975983138 6138238.68392895, 576787.224783137 6138335.17832904, 576862.560271207 6138588.82914528, 576888.685647232 6138595.43666529, 576944.605327284 6138609.5796733, 577155.21966348 6138670.13295336, 577155.21966348 6138670.20351336, 577155.21966348 6138692.47304938, 577147.137487472 6138697.79176938, 577115.322063443 6138718.7287614, 577105.453071433 6138725.22325741, 577082.857807412 6138740.09276142, 577028.321615362 6138763.38456944, 576929.60843127 6138805.54376948, 576828.7701188849 6138849.087784299, 576838.8399102053 6138868.452767607, 576801.142742698 6138884.461153809, 576747.1789892112 6138906.924534447, 576746.9207894338 6138905.891735337, 576840.011215186 6139042.8347777, 576907.99124725 6139142.4360578, 576907.914127249 6139142.5050498, 576832.506095179 6139210.11708186, 576755.606799108 6139279.06616992, 576754.363375106 6139280.18111392, 576673.839119031 6139352.38040999, 576569.358542934 6139446.05922608, 576569.241966934 6139445.94847408, 576476.494030848 6139357.796666, 576475.095694846 6139356.46767399, 576474.890158846 6139356.14812199, 576471.371214843 6139350.68136999, 576418.905326794 6139269.17308191, 576410.240334786 6139255.7117699, 576408.528174784 6139252.0134659, 576321.951950704 6139065.00552972, 576280.906126665 6138976.34556164, 576256.934030643 6138924.56511359, 576251.186446638 6138912.14997758, 576254.585486641 6138872.10127354))"
